순번,정산ID,고유번호(ARS),정류장명,시도명,시군구명,읍면동명,경도(십진수 도_분) 표기,위도(십진수 도_분) 표기
2365,8007033,23470,보성네거리,대전광역시,중구,산성동,127°23.6548'E,36°18.2140'N
2366,8007034,23460,백골삼거리,대전광역시,중구,산성동,127°23.5787'E,36°18.0083'N
2367,8007035,23450,백골삼거리,대전광역시,중구,산성동,127°23.5975'E,36°18.0027'N
2368,8007036,23440,대전보훈공원입구,대전광역시,중구,산성동,127°23.6807'E,36°17.8929'N
2369,8007037,23450,대전보훈공원입구,대전광역시,중구,산성동,127°23.7040'E,36°17.8982'N
2370,8007038,23420,백골저수지,대전광역시,중구,산성동,127°23.9820'E,36°17.7489'N
2371,8007039,23410,백골저수지,대전광역시,중구,산성동,127°23.9924'E,36°17.7420'N
2372,8007040,23400,윗사정삼거리,대전광역시,중구,산성동,127°23.8802'E,36°17.5670'N
2373,8007041,23390,윗사정삼거리,대전광역시,중구,산성동,127°23.8890'E,36°17.5578'N
2374,8007042,23370,중구청역,대전광역시,중구,은행선화동,127°25.1054'E,36°19.4488'N
2375,8007043,14370,가는골입구,대전광역시,동구,대청동,127°29.1605'E,36°19.8568'N
2376,8007044,14380,가는골입구,대전광역시,동구,대청동,127°29.1505'E,36°19.8656'N
2377,8007045,34970,선암초교네거리,대전광역시,서구,관저1동,127°20.1453'E,36°17.7698'N
2378,8007046,34980,선암초교네거리,대전광역시,서구,관저1동,127°20.1974'E,36°17.7805'N
2379,8007047,81720,테크노밸리6단지,대전광역시,유성구,관평동,127°23.2782'E,36°25.1142'N
2380,8007052,51048,한솔동,세종특별자치시,세종시,새롬동,127°15.7540'E,36°28.8187'N
2381,8007053,52033,정부세종청사북측,세종특별자치시,세종시,도담동,127°15.6745'E,36°30.2506'N
2382,8007055,13012,오송역,충청북도,청주시 흥덕구,오송읍,127°19.6259'E,36°37.1518'N
2383,8007057,51049,한솔동,세종특별자치시,세종시,새롬동,127°15.7109'E,36°28.8581'N
2384,8007061,14390,국제금식기도원,대전광역시,동구,대청동,127°30.8175'E,36°22.4983'N
2385,8007062,14250,대전대학교,대전광역시,동구,용운동,127°27.8248'E,36°19.9819'N
2386,8007063,14400,국제금식기도원,대전광역시,동구,대청동,127°30.8119'E,36°22.5016'N
2387,8007064,45950,별밭공원,대전광역시,유성구,온천1동,127°18.2994'E,36°20.4372'N
2388,8007065,45960,별밭공원,대전광역시,유성구,온천1동,127°18.2677'E,36°20.3682'N
2389,8007066,45970,반석네거리,대전광역시,유성구,노은1동,127°19.0712'E,36°23.2182'N
2390,8007069,53240,KT&G사택,대전광역시,대덕구,덕암동,127°25.9211'E,36°26.2912'N
2391,8007070,14360,가오동,대전광역시,동구,효동,127°27.0804'E,36°18.5151'N
2392,8007074,35110,배재대학교종점,대전광역시,서구,도마1동,127°22.0401'E,36°19.3950'N
2393,8007080,52036,정부세종청사북측,세종특별자치시,세종시,도담동,127°15.6901'E,36°30.2998'N
2394,8007098,45990,쉼터공동체,대전광역시,유성구,진잠동,127°16.1602'E,36°18.6306'N
2395,8007099,46000,쉼터공동체,대전광역시,유성구,진잠동,127°16.1567'E,36°18.6288'N
2396,8007100,80470,유성생명과학고,대전광역시,유성구,원신흥동,127°19.9057'E,36°20.9064'N
2397,8007101,46100,싸이언스빌3가,대전광역시,유성구,전민동,127°24.3062'E,36°23.0981'N
